event,train_step,train_loss,learning_rate,gradient_norm,step_time_seconds,tokens_per_second,tokens_seen,elapsed_hours,estimated_training_cost,validation_loss,hellaswag_accuracy,hellaswag_correct,hellaswag_total,sample_prompt,generated_continuation
train,13340,3.0702033042907715,0.00017988560351943673,0.2824587821960449,1.7449178429960739,300465.72227136063,6994001920,6.582968870434439,,,,,,,
train,13350,3.1190829277038574,0.00017950176994398293,0.27297288179397583,1.745809852000093,300312.20146876114,6999244800,6.587817000016391,,,,,,,
train,13360,3.1195037364959717,0.00017911837710633043,0.25778526067733765,1.7400366270157974,301308.5999799705,7004487680,6.592793012343609,,,,,,,
train,13370,3.0711703300476074,0.00017873542612925467,0.26375868916511536,1.7468789030099288,300128.41708525695,7009730560,6.597646472319999,,,,,,,
train,13380,3.137284994125366,0.0001783529181342371,0.27472051978111267,1.7469965239870362,300108.2101774637,7014973440,6.602501771801941,,,,,,,
train,13390,3.103250741958618,0.00017797085424146183,0.2767915427684784,1.747167702007573,300078.80720183294,7020216320,6.607359335549166,,,,,,,
train,13400,3.1010208129882812,0.00017758923556981251,0.2540847361087799,1.7488437790016178,299791.21422686835,7025459200,6.612217564513889,,,,,,,
train,13410,3.110028028488159,0.00017720806323686883,0.2681954503059387,1.747175379015971,300077.4886693315,7030702080,6.617074451700278,,,,,,,
train,13420,3.0803403854370117,0.00017682733835890346,0.2604922354221344,1.750556274986593,299497.94102107076,7035944960,6.621932647874443,,,,,,,
train,13430,3.130063533782959,0.0001764470620508787,0.269989937543869,1.7480621350114234,299925.2655264304,7041187840,6.62679308153444,,,,,,,
train,13440,3.1290464401245117,0.00017606723542644304,0.28784334659576416,1.7467477470054291,300150.95247658016,7046430720,6.631650014394998,,,,,,,
train,13450,3.0647592544555664,0.00017568785959792824,0.25913941860198975,1.7474644470203202,300027.8494329238,7051673600,6.6365060307727735,,,,,,,
train,13460,3.1750423908233643,0.00017530893567634575,0.2977808713912964,1.749086706986418,299749.5766824047,7056916480,6.641363273630834,,,,,,,
train,13470,3.1756131649017334,0.00017493046477138396,0.2686917185783386,1.7477354329894297,299981.33018521394,7062159360,6.646222457147774,,,,,,,
train,13480,3.0932133197784424,0.00017455244799140397,0.2409108281135559,1.7472982709878124,300056.3834494042,7067402240,6.651081075718054,,,,,,,
train,13490,3.072052240371704,0.00017417488644343746,0.27528032660484314,1.748686473001726,299818.18244412215,7072645120,6.655938680865276,,,,,,,
train,13500,3.104142427444458,0.00017379778123318264,0.2888451814651489,1.748589481023373,299834.81296773965,7077888000,6.660797612654723,,,,,,,
validation,13500,,,,,,,,,3.082594633102417,,,,,
train,13510,3.0819692611694336,0.00017342113346500182,0.26775020360946655,1.7512193839938845,299384.5344518131,7083130880,6.6666654804766665,,,,,,,
train,13520,3.050884485244751,0.00017304494424191702,0.2414994090795517,1.7464111919980496,300208.7952724169,7088373760,6.6715349637519425,,,,,,,
train,13530,3.1105079650878906,0.00017266921466560766,0.2661561369895935,1.7469697009946685,300112.81804228615,7093616640,6.676388312690276,,,,,,,
train,13540,3.1492974758148193,0.00017229394583640742,0.2666223645210266,1.74514796101721,300426.1023772469,7098859520,6.681239153626391,,,,,,,
train,13550,3.102602005004883,0.0001719191388533003,0.27686989307403564,1.74781704499037,299967.3229544965,7104102400,6.6862384681624984,,,,,,,
train,13560,3.0992698669433594,0.0001715447948139177,0.3212748169898987,1.7455980250088032,300348.6441257608,7109345280,6.691091421667499,,,,,,,
train,13570,3.0951316356658936,0.00017117091481453543,0.2826102375984192,1.748905318992911,299780.66525745706,7114588160,6.695944025007775,,,,,,,
train,13580,3.1020936965942383,0.00017079749995007053,0.2665601968765259,1.7488864060142078,299783.9071748956,7119831040,6.7007998844172185,,,,,,,
